col_oslnp,col_29p4d,col_4bzl7,col_g4elm,col_0l637,col_3zius,col_k7ayf,col_eph8l,col_9t29s,col_4gmox,col_l4kuj,col_lyhls,col_ky2iy,col_gkyng,col_q01lh,col_fe2jd,col_b0oll,col_dwe97,col_q9rrk,col_mkc8l,col_sxciu,col_ahvgp,col_2me64,col_eo0va,col_6v7c9,col_md150,col_grbeg,col_jleb4,col_hc7wj,col_eun3m,col_m74pu,col_ghi4z,col_y88mx,col_wv5nq,col_ur3w6,col_dyf88,col_i6wfm,col_riwps,col_rj5ld,col_be67j,col_0jjaa,target
36.0,64.0,20.0,1.4,3.4,603.0,1.68435754189944,0.45,0.723463687150838,0.1,3.0,2.0,1.89,209.0,228.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1.0,1,0.0,0,0,1.0,0,0,0,0
30.0,114.0,16.0,3.1,3.2,845.0,2.36033519553073,1.02,0.78169014084507,0.1,2.5,2.0,1.4,174.2,222.0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,1.0,0,0,0,0
43.0,41.0,25.0,8.4,8.7,514.0,1.80985915492958,4.68,0.96428571428571,0.1,2.5,2.0,0.48,302.0,189.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0
48.0,105.0,26.0,33.9,47.0,764.0,3.11836734693878,0.1,0.566530612244898,0.1,2.0,2.0,1.89,317.0,138.8,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0.0,0,0.0,0,0,0.0,0,0,0,0
33.0,66.0,25.0,22.1,25.6,1500.0,4.18994413407821,1.9,1.4330985915493,0.1,2.0,1.5,2.14,176.0,407.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0
44.0,89.0,13.0,7.66,11.5,945.0,3.32746478873239,1.4,0.888888888888889,0.1,2.0,1.5,1.89,317.0,224.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.0,1,0.0,0,0,1.0,0,0,0,0
33.0,128.0,16.0,21.0,34.6,784.0,2.18994413407821,2.5,0.885167464114832,0.1,1.5,1.5,1.89,317.0,185.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,1,0.125,1,1,1.0,1,1,0,0
30.0,110.0,12.0,2.1,6.3,529.7,1.47960893854749,0.2,0.592178770949721,0.1,1.5,1.5,0.2,313.0,184.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0,0,0
15.0,70.0,18.0,5.8,9.8,664.0,2.32262569832402,1.1,1.28212290502793,0.1,2.5,1.0,1.89,317.0,459.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0,0,1,1,1.0,1,0.125,0,1,1.0,1,1,0,0
53.0,151.0,22.0,5.8,9.8,664.0,2.32262569832402,0.28,0.986666666666667,0.1,2.5,1.0,40.0,852.0,222.0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0,1,1,1,0.0,1,0.0,0,1,0.0,0,1,0,0
